,date,trials
0,2020-05-01,0.0
1,2020-05-02,0.0
2,2020-05-03,0.0
3,2020-05-04,0.0
4,2020-05-05,0.0
5,2020-05-06,0.0
6,2020-05-07,0.0
7,2020-05-08,0.0
8,2020-05-09,0.0
9,2020-05-10,0.0
10,2020-05-11,0.0
11,2020-05-12,0.0
12,2020-05-13,0.0
13,2020-05-14,0.0
14,2020-05-15,0.0
15,2020-05-16,0.0
16,2020-05-17,0.0
17,2020-05-18,1.0
18,2020-05-19,0.0
19,2020-05-20,1.0
20,2020-05-21,0.0
21,2020-05-22,0.0
22,2020-05-23,0.0
23,2020-05-24,0.0
24,2020-05-25,1.0
25,2020-05-26,0.0
26,2020-05-27,2.0
27,2020-05-28,0.0
28,2020-05-29,1.0
29,2020-05-30,0.0
30,2020-05-31,0.0
31,2020-06-01,0.0
32,2020-06-02,1.0
33,2020-06-03,13.0
34,2020-06-04,28.0
35,2020-06-05,31.0
36,2020-06-06,34.0
37,2020-06-07,34.0
38,2020-06-08,53.0
39,2020-06-09,31.0
40,2020-06-10,37.0
41,2020-06-11,31.0
42,2020-06-12,27.0
43,2020-06-13,42.0
44,2020-06-14,56.0
45,2020-06-15,25.0
46,2020-06-16,51.0
47,2020-06-17,46.0
48,2020-06-18,52.0
49,2020-06-19,56.0
50,2020-06-20,66.0
51,2020-06-21,68.0
52,2020-06-22,72.0
53,2020-06-23,62.0
54,2020-06-24,67.0
55,2020-06-25,49.0
56,2020-06-26,66.0
57,2020-06-27,63.0
58,2020-06-28,106.0
59,2020-06-29,110.0
60,2020-06-30,91.0
61,2020-07-01,104.0
62,2020-07-02,131.0
63,2020-07-03,89.0
64,2020-07-04,92.0
65,2020-07-05,105.0
66,2020-07-06,127.0
67,2020-07-07,131.0
68,2020-07-08,134.0
69,2020-07-09,123.0
70,2020-07-10,97.0
71,2020-07-11,120.0
72,2020-07-12,146.0
73,2020-07-13,156.0
74,2020-07-14,153.0
75,2020-07-15,148.0
76,2020-07-16,118.0
77,2020-07-17,135.0
78,2020-07-18,112.0
79,2020-07-19,149.0
80,2020-07-20,141.0
81,2020-07-21,143.0
82,2020-07-22,136.0
83,2020-07-23,126.0
84,2020-07-24,116.0
85,2020-07-25,113.0
86,2020-07-26,132.0
87,2020-07-27,120.0
88,2020-07-28,127.0
89,2020-07-29,140.0
90,2020-07-30,118.0
91,2020-07-31,127.0
92,2020-08-01,120.0
93,2020-08-02,135.0
94,2020-08-03,143.0
95,2020-08-04,153.0
96,2020-08-05,170.0
97,2020-08-06,143.0
98,2020-08-07,117.0
99,2020-08-08,121.0
100,2020-08-09,147.0
101,2020-08-10,153.0
102,2020-08-11,130.0
103,2020-08-12,153.0
104,2020-08-13,120.0
105,2020-08-14,108.0
106,2020-08-15,88.0
107,2020-08-16,142.0
108,2020-08-17,133.0
109,2020-08-18,167.0
110,2020-08-19,150.0
111,2020-08-20,87.0
112,2020-08-21,74.0
113,2020-08-22,67.0
114,2020-08-23,88.0
115,2020-08-24,131.0
116,2020-08-25,158.0
117,2020-08-26,160.0
118,2020-08-27,132.0
119,2020-08-28,121.0
120,2020-08-29,113.0
121,2020-08-30,103.0
122,2020-08-31,106.0
123,2020-09-01,93.0
124,2020-09-02,98.0
125,2020-09-03,89.0
126,2020-09-04,55.0
127,2020-09-05,51.0
128,2020-09-06,65.0
129,2020-09-07,80.0
130,2020-09-08,103.0
131,2020-09-09,94.0
132,2020-09-10,66.0
133,2020-09-11,55.0
134,2020-09-12,64.0
135,2020-09-13,89.0
136,2020-09-14,89.0
137,2020-09-15,73.0
138,2020-09-16,49.0
139,2020-09-17,78.0
140,2020-09-18,103.0
141,2020-09-19,136.0
142,2020-09-20,155.0
143,2020-09-21,162.0
144,2020-09-22,194.0
145,2020-09-23,196.0
146,2020-09-24,193.0
147,2020-09-25,131.0
148,2020-09-26,123.0
149,2020-09-27,163.0
150,2020-09-28,101.0
151,2020-09-29,68.0
152,2020-09-30,55.0
153,2020-10-01,62.0
154,2020-10-02,61.0
155,2020-10-03,53.0
156,2020-10-04,94.0
157,2020-10-05,92.0
158,2020-10-06,96.0
159,2020-10-07,141.0
160,2020-10-08,115.0
161,2020-10-09,105.0
162,2020-10-10,100.0
163,2020-10-11,153.0
164,2020-10-12,109.0
165,2020-10-13,132.0
166,2020-10-14,121.0
167,2020-10-15,96.0
168,2020-10-16,97.0
169,2020-10-17,96.0
170,2020-10-18,112.0
171,2020-10-19,147.0
172,2020-10-20,160.0
173,2020-10-21,127.0
174,2020-10-22,88.0
175,2020-10-23,73.0
176,2020-10-24,108.0
177,2020-10-25,141.0
178,2020-10-26,112.0
179,2020-10-27,90.0
180,2020-10-28,124.0
181,2020-10-29,67.0
182,2020-10-30,66.0
183,2020-10-31,75.0
184,2020-11-01,104.0
185,2020-11-02,119.0
186,2020-11-03,127.0
187,2020-11-04,94.0
188,2020-11-05,111.0
189,2020-11-06,102.0
190,2020-11-07,90.0
191,2020-11-08,104.0
192,2020-11-09,149.0
193,2020-11-10,169.0
194,2020-11-11,135.0
195,2020-11-12,116.0
196,2020-11-13,79.0
197,2020-11-14,77.0
198,2020-11-15,117.0
199,2020-11-16,110.0
200,2020-11-17,115.0
201,2020-11-18,109.0
202,2020-11-19,81.0
203,2020-11-20,63.0
204,2020-11-21,63.0
205,2020-11-22,96.0
206,2020-11-23,85.0
207,2020-11-24,63.0
208,2020-11-25,64.0
209,2020-11-26,63.0
210,2020-11-27,53.0
211,2020-11-28,43.0
212,2020-11-29,104.0
